"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15356","2019-003B","ORIGAMISAT-1","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,514,488,0,0,0,"u","","2022-09-03",6877.27,0.000524023,1.69784,5.69785,4.94555,0.96146,1166.19,-6295.49,2505.06,-1.5189,2.51125,7.02712,3066.76,-5619.29,2507.42,-2.65076,1.68349,7.02386,2022,2019-01-01
"15357","2019-003C","RISESAT","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,513,489,0,0,0,"u","","2022-09-23",6873.06,0.000960021,1.69791,2.44309,5.2733,1.49975,-2013.97,4382.16,-4896.23,3.47653,-4.26976,-5.2617,-1885.16,4434.39,-4900.49,3.69576,-4.22403,-5.25422,2022,2019-01-01
"15358","2019-003D","MICRODRAGON","plat","+","u","u","VTNM","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,513,487,0,0,0,"u","","2022-11-02",6866.5,0.0028683,1.69796,0.895612,5.98314,1.33402,-4216.49,584.266,5381.87,-5.59726,2.34911,-4.61318,-2810.19,3212.84,5372.63,-2.44499,5.64151,-4.62537,2022,2019-01-01
"15359","2019-003E","OBJECT E","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,514,479,0,0,0,"u","","2022-11-22",6857.88,0.00324156,1.698,6.02567,0.0746179,2.13337,-1995.58,-982.749,6499.57,-7.26681,-0.254988,-2.24761,-1841.39,1270.8,6495.14,-3.68654,6.34049,-2.26358,2022,2019-01-01
"15360","2019-003F","NEXUS (FO-99)","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.5,0,0,0,97.3,513,478,0,0,0,"u","","2022-10-13",6854.79,0.00452348,1.69789,1.6331,5.69017,2.69821,-1670.18,2102.14,-6337.52,6.0425,-3.63845,-2.81536,-781.86,2559.65,-6341.09,4.50563,-5.52602,-2.80225,2022,2019-01-01
"15361","2019-003G","ALE-1","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.5,0,0,0,97.3,514,478,0,0,0,"u","","2022-11-22",6870.1,0.00188761,1.69792,0.184018,0.0722932,0.480168,5425.2,-144.526,4193.65,-4.63061,-1.09956,5.96345,2526.72,-4792.63,4205.55,-3.5828,3.32559,5.95323,2022,2019-01-01
"15362","2019-003H","EPSILON R/B","rb","D","u","u","JPN","KSCUT","2019-01-18","2019-08-30",91.5,0,0,0,97.1,487,209,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,5096.78,-4193.19,0,4.9374,6.00134,0,0,0,0,0,0,0,1858,2019-01-01
"15363","2019-003J","AOBA VELOX-IV","plat","+","u","u","SGJP","KSCUT","2019-01-18","1858-11-16",94.5,0,0,0,97.3,512,477,0,0,0,"u","","2022-09-03",6846.12,0.00316241,1.69792,4.507,5.04457,3.30552,-729.528,-552.733,6806.22,-2.51582,7.17189,0.308796,-534.724,-757.547,6804.59,-4.68348,6.06792,0.303519,2022,2019-01-01
"15364","2019-004A","USA 290","plat","+","u","u","US","AFWTR","2019-01-19","1858-11-16",0,0,0,0,0,0,0,0,0,0,"u","NIE","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15365","2019-005A","LINGQUE 1A","plat","+","u","u","PRC","JSC","2019-01-21","1858-11-16",95.2,0,0,0,97.5,538,514,0,0,0,"u","","2022-11-22",6852.64,0.00357608,1.70188,2.26664,1.25295,3.01239,433.306,3743.69,-5752.33,2.51065,5.92604,4.04167,3482.41,1445,-5751.26,6.49716,0.467564,4.04733,2022,2019-01-01
