"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"46746","STARLINK-1905","2020-074H",46746,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46747","STARLINK-1908","2020-074J",46747,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46748","STARLINK-1910","2020-074K",46748,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46749","STARLINK-1911","2020-074L",46749,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46750","STARLINK-1915","2020-074M",46750,"PAY","D","US","2020-10-24","AFETR","2020-11-06",87.71,53.04,169,154,NA,NA,"EA","IMP",2020-01-01
"46751","STARLINK-1920","2020-074N",46751,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46752","STARLINK-1921","2020-074P",46752,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46753","STARLINK-1922","2020-074Q",46753,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46754","STARLINK-1923","2020-074R",46754,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46755","STARLINK-1924","2020-074S",46755,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46756","STARLINK-1925","2020-074T",46756,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46757","STARLINK-1926","2020-074U",46757,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
