"Country","Payloads_Active","Payloads_Total","Payloads_Decayed","Payloads_OnOrbit","Debris_Total","Debris_Decayed","Debris_OnOrbit","All_ObOrbit","All_Decayed","All_Total"
"AB",7,15,1,14,0,0,0,14,1,15
"ABS",6,8,0,8,0,0,0,8,0,8
"AC",7,8,0,8,0,0,0,8,0,8
"ALG",4,6,0,6,0,0,0,6,0,6
"ANG",0,1,0,1,0,0,0,1,0,1
"ARGN",13,22,2,20,0,0,0,20,2,22
"ASRA",1,3,0,3,0,0,0,3,0,3
"AUS",11,24,5,19,2,0,2,21,5,26
"AZER",3,3,0,3,0,0,0,3,0,3
"BEL",3,4,0,4,0,0,0,4,0,4
"BELA",2,2,0,2,0,0,0,2,0,2
"BGD",1,2,1,1,0,0,0,1,1,2
"BHUT",1,1,0,1,0,0,0,1,0,1
"BOL",1,1,0,1,0,0,0,1,0,1
"BRAZ",11,21,3,18,0,0,0,18,3,21
"BUL",2,2,0,2,0,0,0,2,0,2
"CA",331,353,2,351,0,0,0,351,2,353
"CHBZ",1,4,0,4,0,0,0,4,0,4
"CHLE",2,3,0,3,0,0,0,3,0,3
"CIS",153,3523,2024,1499,4583,3414,1169,2668,5438,8106
"COL",1,2,0,2,0,0,0,2,0,2
"CRI",0,1,1,0,0,0,0,0,1,1
"CZCH",2,8,2,6,0,0,0,6,2,8
"DEN",7,12,2,10,0,0,0,10,2,12
"ECU",2,2,0,2,0,0,0,2,0,2
"EGYP",2,6,0,6,0,0,0,6,0,6
"ESA",56,99,12,87,14,6,8,95,18,113
"ESRO",0,7,7,0,0,0,0,0,7,7
"EST",1,1,0,1,0,0,0,1,0,1
"EUME",7,9,0,9,0,0,0,9,0,9
"EUTE",30,53,0,53,0,0,0,53,0,53
"FGER",0,2,0,2,0,0,0,2,0,2
"FIN",5,6,1,5,0,0,0,5,1,6
"FR",22,69,10,59,242,82,160,219,92,311
"FRIT",2,2,0,2,0,0,0,2,0,2
"GER",48,89,21,68,5,1,4,72,22,94
"GHA",0,1,1,0,0,0,0,0,1,1
"GLOB",34,83,0,83,0,0,0,83,0,83
"GREC",2,5,2,3,0,0,0,3,2,5
"GRSA",1,1,0,1,0,0,0,1,0,1
"GUAT",0,0,0,0,0,0,0,0,0,0
"HUN",0,1,1,0,0,0,0,0,1,1
"IM",12,17,0,17,0,0,0,17,0,17
"IND",80,128,15,113,62,25,37,150,40,190
"INDO",9,19,2,17,0,0,0,17,2,19
"IRAN",1,5,4,1,4,4,0,1,8,9
"IRAQ",1,1,0,1,0,0,0,1,0,1
"ISRA",14,23,6,17,8,8,0,17,14,31
"ISS",5,6,1,5,0,0,0,5,1,6
"IT",18,41,13,28,2,0,2,30,13,43
"ITSO",37,92,1,91,0,0,0,91,1,92
"JOR",1,1,0,1,0,0,0,1,0,1
"JPN",88,242,64,178,124,67,57,235,131,366
"KAZ",8,9,0,9,0,0,0,9,0,9
"KEN",0,1,1,0,0,0,0,0,1,1
"KWT",0,0,0,0,0,0,0,0,0,0
"LAOS",1,1,0,1,0,0,0,1,0,1
"LKA",0,0,0,0,0,0,0,0,0,0
"LTU",3,5,2,3,0,0,0,3,2,5
"LUXE",0,2,1,1,0,0,0,1,1,2
"MA",2,2,0,2,0,0,0,2,0,2
"MALA",5,9,0,9,0,0,0,9,0,9
"MDA",0,0,0,0,0,0,0,0,0,0
"MEX",4,9,0,9,0,0,0,9,0,9
"MMR",0,0,0,0,0,0,0,0,0,0
"MNG",0,1,1,0,0,0,0,0,1,1
"MUS",0,0,0,0,0,0,0,0,0,0
"NATO",0,8,0,8,0,0,0,8,0,8
"NETH",5,9,1,8,0,0,0,8,1,9
"NICO",1,1,0,1,0,0,0,1,0,1
"NIG",3,6,1,5,0,0,0,5,1,6
"NKOR",1,2,0,2,2,0,2,4,0,4
"NOR",8,11,0,11,0,0,0,11,0,11
"NPL",0,0,0,0,0,0,0,0,0,0
"NZ",0,1,1,0,0,0,0,0,1,1
"O3B",20,20,0,20,0,0,0,20,0,20
"ORB",35,59,1,58,0,0,0,58,1,59
"PAKI",3,7,1,6,0,0,0,6,1,7
"PERU",1,4,2,2,0,0,0,2,2,4
"POL",2,4,1,3,0,0,0,3,1,4
"POR",0,1,0,1,0,0,0,1,0,1
"PRC",297,433,83,350,315,174,141,491,257,748
"PRY",0,0,0,0,0,0,0,0,0,0
"RASC",1,2,0,2,0,0,0,2,0,2
"ROC",8,10,0,10,0,0,0,10,0,10
"ROM",0,1,1,0,0,0,0,0,1,1
"RP",2,4,1,3,0,0,0,3,1,4
"RWA",0,0,0,0,0,0,0,0,0,0
"SAFR",3,7,2,5,0,0,0,5,2,7
"SAUD",13,15,0,15,0,0,0,15,0,15
"SDN",0,0,0,0,0,0,0,0,0,0
"SEAL",0,1,0,1,33,3,30,31,3,34
"SES",51,62,1,61,0,0,0,61,1,62
"SGJP",1,2,1,1,0,0,0,1,1,2
"SING",7,10,0,10,0,0,0,10,0,10
"SKOR",15,27,5,22,1,0,1,23,5,28
"SPN",18,29,3,26,0,0,0,26,3,29
"STCT",1,2,0,2,0,0,0,2,0,2
"SVN",0,0,0,0,0,0,0,0,0,0
"SWED",1,12,1,11,0,0,0,11,1,12
"SWTZ",4,4,0,4,0,0,0,4,0,4
"TBD",43,44,1,43,9,1,8,51,2,53
"THAI",5,9,0,9,0,0,0,9,0,9
"TMMC",1,1,0,1,0,0,0,1,0,1
"TUN",0,0,0,0,0,0,0,0,0,0
"TURK",8,15,2,13,0,0,0,13,2,15
"UAE",10,11,0,11,0,0,0,11,0,11
"UK",693,724,11,713,1,0,1,714,11,725
"UKR",1,6,3,3,3,0,3,6,3,9
"URY",0,1,0,1,0,0,0,1,0,1
"US",870,2780,1112,1668,1619,805,814,2482,1917,4399
"USBZ",0,1,0,1,0,0,0,1,0,1
