"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15485","2019-029R","Starlink18","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-04",6917,0,0.925025,0,0,5.53677,6917,0,0,0,4.56849,6.0626,6642.09,1930.61,15.0837,-1.14699,3.89873,6.06271,2022,2019-01-01,1
"15486","2019-029S","Starlink19","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-01",6917,0,0.925025,0,0,1.19562,6917,0,0,0,4.56849,6.0626,5223.78,-4533.96,15.1662,2.6538,3.07783,6.06271,2022,2019-01-01,1
"15487","2019-029T","Starlink20","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-17",6917,0,0.925025,0,0,0.61344,6917,0,0,0,4.56849,6.0626,6904.85,409.515,15.1001,-0.253814,4.05601,6.06272,2022,2019-01-01,1
"15488","2019-029U","Starlink21","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-30",6917,0,0.925025,0,0,2.94922,6917,0,0,0,4.56849,6.0626,6451.61,2494.28,15.0751,-1.47778,3.78573,6.06271,2022,2019-01-01,1
"15489","2019-029V","Starlink22","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-04",6917,0,0.925025,0,0,5.91098,6917,0,0,0,4.56849,6.0626,6642.1,1930.59,15.0837,-1.14697,3.89873,6.06271,2022,2019-01-01,1
"15490","2019-029W","Starlink23","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-22",6917,0,0.925025,0,0,1.04768,6917,0,0,0,4.56849,6.0626,3284.11,-6087.63,15.2005,3.57035,1.94124,6.0627,2022,2019-01-01,1
"15491","2019-029X","Starlink24","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-17",6917,0,0.925025,0,0,5.62731,6917,0,0,0,4.56849,6.0626,6207.68,-3051.12,15.1404,1.78071,3.65304,6.06271,2022,2019-01-01,1
"15492","2019-029Y","Starlink25","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-10",6917,0,0.925025,0,0,0.635564,6917,0,0,0,4.56849,6.0626,4462.12,-5285.28,15.1778,3.09668,2.63179,6.0627,2022,2019-01-01,1
"15493","2019-029Z","Starlink26","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-22",6917,0,0.925025,0,0,5.11245,6917,0,0,0,4.56849,6.0626,6048.58,3355.5,15.0682,-1.98301,3.54731,6.06271,2022,2019-01-01,1
"15494","2019-029AA","Starlink27","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-03",6917,0,0.925025,0,0,0.59149,6917,0,0,0,4.56849,6.0626,4650.9,5119.94,15.0324,-3.01698,2.72279,6.0627,2022,2019-01-01,1
